,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
41,"Hinton, Kaylee",SO-2,Texas Tech,1.79m,"5' 10.5""",Big 12 Outdoor Track & Field Championships,2017-05-12,HJ,W
46,"Bloch-Jones, Kandie",SR-4,Illinois,1.78m,"5' 10""",Weems Baskin Invitational,2017-03-24,HJ,W
46,"Morrison, Quamecha",SO-2,Bethune-Cookman,1.78m,"5' 10""",Mt. SAC Relays,2017-04-13,HJ,W
46,"Siba, Rhizlane",JR-3,Kansas State,1.78m,"5' 10""",Texas Invitational,2017-04-14,HJ,W
46,"Wright, McKenzie",JR-3,Colorado St.,1.78m,"5' 10""",Bryan Clay Invite,2017-04-13,HJ,W
46,"Jefferson, LaTyria",SO-2,Kansas,1.78m,"5' 10""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,HJ,W
46,"Teran, Karla",FR-1,Arizona,1.78m,"5' 10""",2017 Horned Frog Invitational,2017-04-15,HJ,W
46,"Hanson, Sashane",SO-2,Texas A&M-CC,1.78m,"5' 10""",Texas Invitational,2017-04-14,HJ,W
46,"Mack, Monique",SR-4,South Dakota St.,1.78m,"5' 10""",Howard Wood Dakota Relays,2017-05-05,HJ,W
46,"O'Quinn, Rajon",JR-3,Colorado,1.78m,"5' 10""",Bryan Clay Invite,2017-04-13,HJ,W
46,"Bertsch, Morgan",JR-3,UC Davis,1.78m,"5' 10""",Brutus Hamilton Challenge,2017-04-28,HJ,W
56,"Bailey, Nekiesha",SO-2,Prairie View,1.77m,"5' 9.75""",Prairie View Relays (University/College),2017-03-25,HJ,W
56,"Herman, Kelsey",SO-2,Arkansas,1.77m,"5' 9.75""",SEC Outdoor Track & Field Championships,2017-05-11,HJ,W
58,"Lowe, Lily",FR-1,Hawaii,1.76m,"5' 9.25""",adidas/Steve Scott Invitational,2017-04-28,HJ,W
58,"Paul, Carly",SO-2,Brown,1.76m,"5' 9.25""",Virginia Challenge,2017-04-21,HJ,W
58,"Meade, Rechelle",FR-1,Idaho,1.76m,"5' 9.25""",2017 Big Sky Outdoor Track & Field Championships,2017-05-10,HJ,W
58,"Mills, Daijia",SO-2,Akron,1.76m,"5' 9.25""",Spec Towns Invitational,2017-04-07,HJ,W
58,"Henry, Alexus",SO-2,UT-Arlington,1.76m,"5' 9.25""",Shirley Crowe Combined Events,2017-03-14,HJ,W
58,"Kelly, Brittany",SO-2,LSU,1.76m,"5' 9.25""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,HJ,W
58,"Brown, Leigha",SR-4,Arkansas,1.76m,"5' 9.25""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,HJ,W
58,"Wittmayer, Lexy",FR-1,North Dakota State,1.76m,"5' 9.25""",The Summit League Outdoor Track & Field Championships,2017-05-11,HJ,W
58,"Sharp, Kassidy",JR-3,Northern Iowa,1.76m,"5' 9.25""",2017 MVC Outdoor Track and Field Championships,2017-05-12,HJ,W
