,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
93,"Alarcon, Taylor",JR-3,Brown,15.20m,"49' 10.5""",Ivy League Outdoor Track & Field Championships,2016-05-07,1.6,TJ,M
95,"Shaw, Darryl",FR-1,North Carolina,15.19m,"49' 10""",ACC Championships,2016-05-13,2.0,TJ,M
95,"Okoroike, Basil",JR-3,UC Davis,15.19m,"49' 10""",Mondo Team Challenge,2016-04-02,0.4,TJ,M
95,"Burns, Casey",SO-2,Washington,15.19m,"49' 10""",WSU-UW Dual Meet,2016-04-23,1.3,TJ,M
95,"Cragwall, Shaquille",SR-4,Tennessee St.,15.19m,"49' 10""",2016 Govs Invitational,2016-04-15,-0.1,TJ,M
99,"Lee, Javion",JR-3,Samford,15.18m,"49' 9.75""",Florida Relays,2016-03-31,1.6,TJ,M
100,"Fisher, Kenneth",JR-3,Bethune-Cookman,15.17m,"49' 9.25""",Miami Hurricane Alumni Invitational,2016-04-08,0.0,TJ,M
1,"Bates, KeAndre",JR-3,Florida,16.70m,"54' 9.5""",UF Tom Jones Memorial,2017-04-28,1.0,TJ,M
2,"Obi, Felix",SR-4,Baylor,16.67m,"54' 8.25""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,2.0,TJ,M
3,"McClain, Hayden",SR-4,Oklahoma,16.66m,"54' 8""",Big 12 Outdoor Track & Field Championships,2017-05-12,4.0,TJ,M
4,"Scott, Jordan",FR-1,Virginia,16.44m,"53' 11.25""",Virginia Challenge,2017-04-21,1.3,TJ,M
5,"Newton, Scotty",JR-3,TCU,16.43m,"53' 11""",Big 12 Outdoor Track & Field Championships,2017-05-12,3.5,TJ,M
6,"Sloan, Eric",JR-3,USC,16.42m,"53' 10.5""",Beach Invitational,2017-04-14,1.7,TJ,M
7,"Wallace, Armani",SO-2,Florida State,16.32m,"53' 6.5""",ACC Outdoor Track & Field Championships,2017-05-12,0.6,TJ,M
8,"Wasome, O'Brien",FR-1,Texas,16.31m,"53' 6.25""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,1.8,TJ,M
9,"Adams, Barden",JR-3,Kansas,16.29m,"53' 5.5""",Big 12 Outdoor Track & Field Championships,2017-05-12,2.0,TJ,M
10,"Prothro, Jeffrey",SR-4,Texas A&M,16.28m,"53' 5""",SEC Relays,2017-04-28,3.6,TJ,M
11,"Peterson, Anaquan",SR-4,Purdue,16.26m,"53' 4.25""",Big Ten Outdoor Championships,2017-05-12,2.6,TJ,M
11,"Carter, Scott",SR-4,Wyoming,16.26m,"53' 4.25""",Rams vs. Cowboys Dual,2017-05-05,0.5,TJ,M
